Country Name,Access to electricity (% of population),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,ESG_Proxy,E_Score,S_Score,G_Score,ESG_Final,Temperature,GDP_2020,POP_2020,SDI_2019,ESG_Final_norm,GDP_2020_norm,SDI_2019_norm,Temperature_norm,Economic_Index,Sustainability_Index,Climate_Risk_Index
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,0.9743067739732274,1.0,1.0,1.0,1.0000000000000002,26.72,108000.0,5870000.0,7.9,1.0,0.4770036742707968,0.0,0.19148936170212494,0.4770036742707968,1.0,0.43404255319148743
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,0.9743067739732274,1.0,1.0,1.0,1.0000000000000002,26.99,108000.0,5870000.0,7.9,1.0,0.4770036742707968,0.0,0.7659574468085069,0.4770036742707968,1.0,0.8361702127659547
singapore,1.0,0.9227106915019596,1.0,1.0,0.9488231783641772,0.9743067739732274,1.0,1.0,1.0,1.0000000000000002,26.84,108000.0,5870000.0,7.9,1.0,0.4770036742707968,0.0,0.44680851063829863,0.4770036742707968,1.0,0.612765957446809
denmark,1.0,1.0,0.9350269679516892,0.9000896001605527,0.986094928069803,0.9642422992364088,1.0,1.0,0.9867452978360112,0.99573415122936,26.79,61600.0,6000000.0,35.5,0.9957341512293598,0.2713508817806695,0.35658914728682173,0.3404255319148959,0.2713508817806695,0.995581765945337,0.4313211281543806
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,0.9448151842633152,1.0,1.0,0.9611601948269172,0.9874999277162456,26.94,49300.0,5620000.0,22.3,0.9874999277162454,0.216835163081778,0.18604651162790703,0.6595744680851112,0.216835163081778,0.9870533982756391,0.7058881741712056
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,0.9448151842633152,1.0,1.0,0.9611601948269172,0.9874999277162456,26.86,49300.0,5620000.0,22.3,0.9874999277162454,0.216835163081778,0.18604651162790703,0.4893617021276597,0.216835163081778,0.9870533982756391,0.5867392380009897
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,0.9448151842633152,1.0,1.0,0.9611601948269172,0.9874999277162456,26.81,49300.0,5620000.0,22.3,0.9874999277162454,0.216835163081778,0.18604651162790703,0.382978723404257,0.216835163081778,0.9870533982756391,0.5122711528946078
finland,1.0,0.9644384700926424,0.8753884779516867,0.8842489732722469,1.0,0.9448151842633152,1.0,1.0,0.9611601948269172,0.9874999277162456,26.79,49300.0,5620000.0,22.3,0.9874999277162454,0.216835163081778,0.18604651162790703,0.3404255319148959,0.216835163081778,0.9870533982756391,0.482483918852055
switzerland,1.0,0.9185260300448744,0.9607038124973284,0.8766302427761132,0.9508691661215684,0.9413458502879768,1.0,1.0,0.9565911547375926,0.9860294432189776,26.98,72100.0,8970000.0,25.7,0.9860294432189773,0.3178886904260647,0.22997416020671835,0.7446808510638334,0.3178886904260647,0.9855303849125309,0.7522843476826678
luxembourg,1.0,0.8965866367239499,0.9131910850375948,0.919161982556406,0.9486459497557908,0.9355171308147484,1.0,1.0,0.9489148534267596,0.9835589282194896,26.9,111000.0,680000.0,58.3,0.9835589282194894,0.49030019102662403,0.6511627906976745,0.5744680851063819,0.49030019102662403,0.98297161780892,0.506778822365165
norway,1.0,0.939586936886298,0.8885906335812176,0.8485453101115688,0.9681591818125624,0.9289764124783292,1.0,1.0,0.9403008645445956,0.9807866310053645,26.88,68400.0,5620000.0,19.7,0.9807866310053642,0.3014896530938778,0.15245478036175714,0.5319148936170208,0.3014896530938778,0.9801002881815318,0.6266039914233874
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,0.9231815096390952,1.0,1.0,0.9326690990315568,0.9783304492572704,26.79,44800.0,5250000.0,43.6,0.9783304492572702,0.1968903879480372,0.4612403100775194,0.3404255319148959,0.1968903879480372,0.9775563663438523,0.39992577931717127
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,0.9231815096390952,1.0,1.0,0.9326690990315568,0.9783304492572704,26.87,44800.0,5250000.0,43.6,0.9783304492572702,0.1968903879480372,0.4612403100775194,0.5106382978723474,0.1968903879480372,0.9775563663438523,0.5190747154873874
new zealand,1.0,0.9328154805864748,0.8304770573145137,0.915150237439918,0.9374647728545688,0.9231815096390952,1.0,1.0,0.9326690990315568,0.9783304492572704,26.81,44800.0,5250000.0,43.6,0.9783304492572702,0.1968903879480372,0.4612403100775194,0.382978723404257,0.1968903879480372,0.9775563663438523,0.42971301335972406
sweden,1.0,0.9199635833009228,0.8458486281062791,0.87420998724909,0.9131327939190148,0.9106309985150614,1.0,1.0,0.9161403390808428,0.973010888738776,26.84,54800.0,10700000.0,32.5,0.9730108887387757,0.2412121104674612,0.3178294573643411,0.44680851063829863,0.2412121104674612,0.9720467796936143,0.5174171202375066
netherlands,1.0,0.8828811613314751,0.8510470588434569,0.8897479012848367,0.9223408655824704,0.909203397408448,1.0,1.0,0.914260218361982,0.9724057970092164,26.87,58400.0,18300000.0,29.9,0.9724057970092161,0.2571679305744538,0.28423772609819126,0.5106382978723474,0.2571679305744538,0.9714200727873273,0.5721754906811858
australia,1.0,0.8631151058142237,0.8433722439576607,0.9219612512314056,0.8937888033451922,0.9044474808696964,1.0,1.0,0.9079967760178598,0.9703899917883158,26.78,52300.0,27000000.0,15.0,0.9703899917883155,0.23013167983760519,0.0917312661498708,0.31914893617021534,0.23013167983760519,0.9693322586726199,0.49588487547418947
liechtenstein,1.0,0.8467692880643959,0.8515395128518708,0.853594891592387,0.9391315433063232,0.8982070471629953,1.0,1.0,0.8997782556956966,0.9677449708456324,27.0,,40100.0,58.3,0.9677449708456322,,0.6511627906976745,0.7872340425531945,,0.9665927518985655,0.6557149925779338
liechtenstein,1.0,0.8467692880643959,0.8515395128518708,0.853594891592387,0.9391315433063232,0.8982070471629953,1.0,1.0,0.8997782556956966,0.9677449708456324,26.83,,40100.0,58.3,0.9677449708456322,,0.6511627906976745,0.4255319148936181,,0.9665927518985655,0.40252350321623026
ireland,1.0,0.8157302462752255,0.8436447488620562,0.8808867328335384,0.9202061922072632,0.8920935840356167,1.0,1.0,0.891726952963772,0.9651537666498607,26.83,105000.0,5310000.0,42.4,0.9651537666498605,0.46370715751496966,0.44573643410852715,0.4255319148936181,0.46370715751496966,0.9639089843212574,0.46415141019297446
canada,1.0,0.8378703330474363,0.827641199703163,0.8585959506557217,0.8817817006227415,0.8811778368058125,1.0,1.0,0.877351142778751,0.9605271042438704,26.92,48200.0,40100000.0,19.1,0.9605271042438702,0.21195977360464135,0.144702842377261,0.6170212765957501,0.21195977360464135,0.959117047592917,0.6885040409038468
iceland,1.0,0.8102113958218564,0.8358897915130916,0.7818605785141708,0.9411521148895516,0.8738227761477342,1.0,1.0,0.8676646821367208,0.9574096463251311,26.89,57100.0,398000.0,23.2,0.9574096463251309,0.2514061066469287,0.19767441860465118,0.5531914893617014,0.2514061066469287,0.955888227378907,0.6279317169717955
monaco,1.0,0.7411876893605538,0.936599228096948,0.7959400270029406,0.8827133132287875,0.871288051537846,1.0,1.0,0.8643265029817875,0.9563352979717644,26.84,226000.0,38300.0,58.3,0.9563352979717642,1.0,0.6511627906976745,0.44680851063829863,1.0,0.9547755009939292,0.41741712023750666
japan,1.0,0.774394664824105,0.8522812219818949,0.8212397322781326,0.8967453234025612,0.8689321884973389,1.0,1.0,0.861223880762782,0.9553367604705096,26.84,43800.0,123000000.0,30.5,0.9553367604705094,0.1924582156960948,0.2919896640826874,0.44680851063829863,0.1924582156960948,0.9537412935875941,0.5251690582220028
germany,1.0,0.836182461619847,0.7563040913510145,0.8186090352042192,0.9004945941851386,0.8623180364720439,1.0,1.0,0.8525131812523631,0.952533338233012,26.91,53900.0,84100000.0,39.3,0.9525333382330118,0.23722315544071304,0.40568475452196384,0.5957446808510625,0.23722315544071304,0.950837727084121,0.5953158502391546
germany,1.0,0.836182461619847,0.7563040913510145,0.8186090352042192,0.9004945941851386,0.8623180364720439,1.0,1.0,0.8525131812523631,0.952533338233012,26.77,53900.0,84100000.0,39.3,0.9525333382330118,0.23722315544071304,0.40568475452196384,0.2978723404255348,0.23722315544071304,0.950837727084121,0.38680521194128514
estonia,1.0,0.8071775670149064,0.7731064989404415,0.8127875384884848,0.8706268527100192,0.8527396914307703,1.0,1.0,0.8398987017026701,0.9484735365555724,26.84,37100.0,1340000.0,20.1,0.9484735365555722,0.16276266160808073,0.15762273901808788,0.44680851063829863,0.16276266160808073,0.9466329005675567,0.5654791357413826
austria,1.0,0.7141022207789267,0.7867139603859634,0.7982454893068109,0.9472414993237898,0.8492606339590981,1.0,1.0,0.8353168559725874,0.9469989307339466,26.9,56000.0,9110000.0,25.2,0.9469989307339464,0.24653071716979208,0.22351421188630494,0.5744680851063819,0.24653071716979208,0.9451056186575292,0.6350733960085758
united kingdom,1.0,0.7940129160336016,0.7510786641773146,0.8355617674632065,0.8639212615482071,0.8489149218444659,1.0,1.0,0.8348615603676247,0.9468523999275444,26.82,46600.0,69600000.0,39.1,0.9468523999275442,0.20486829800153353,0.4031007751937985,0.40425531914893753,0.20486829800153353,0.9449538534558749,0.46204849084611666
andorra,1.0,0.7411876893605538,0.8187367125310114,0.7959400270029406,0.8827133132287875,0.8477155484246588,1.0,1.0,0.8332820107260727,0.9463440429827248,26.77,55000.0,82900.0,58.3,0.9463440429827246,0.24209854491784968,0.6511627906976745,0.2978723404255348,0.24209854491784968,0.9444273369086909,0.313161801088572
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,0.825408320295941,1.0,1.0,0.8039038590905335,0.9368890774551986,26.97,46600.0,69600000.0,39.1,0.9368890774551983,0.20486829800153353,0.4031007751937985,0.7234042553191458,0.20486829800153353,0.9346346196968445,0.6854527461652624
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,0.825408320295941,1.0,1.0,0.8039038590905335,0.9368890774551986,26.87,46600.0,69600000.0,39.1,0.9368890774551983,0.20486829800153353,0.4031007751937985,0.5106382978723474,0.20486829800153353,0.9346346196968445,0.5365165759525036
united states,1.0,0.7117502723873202,0.7631462509366005,0.8051386941319969,0.847006384023788,0.825408320295941,1.0,1.0,0.8039038590905335,0.9368890774551986,26.8,46600.0,69600000.0,39.1,0.9368890774551983,0.20486829800153353,0.4031007751937985,0.36170212765957643,0.20486829800153353,0.9346346196968445,0.432261256803564
san marino,1.0,0.7411876893605538,0.7598054419170392,0.7066379962064657,0.8827133132287875,0.8180688881425693,1.0,1.0,0.7942379808614529,0.9337782437110272,26.83,70200.0,33600.0,58.3,0.933778243711027,0.30946756314737417,0.6511627906976745,0.4255319148936181,0.30946756314737417,0.931412660287151,0.40252350321623026
belgium,1.0,0.7608600367272307,0.7243593773841619,0.7571063759167532,0.8392766437026348,0.8163204867461561,1.0,1.0,0.7919353728885021,0.93303718010438,26.86,53900.0,11800000.0,42.9,0.9330371801043797,0.23722315544071304,0.45219638242894056,0.4893617021276597,0.23722315544071304,0.9306451242961673,0.5068942767606797
france,1.0,0.7258769955433215,0.7475231924281873,0.7539712082041319,0.8118053251135163,0.8078353442578313,1.0,1.0,0.7807606181752418,0.9294407346266929,26.84,46900.0,66700000.0,52.2,0.9294407346266926,0.20619794967711624,0.5723514211886306,0.44680851063829863,0.20619794967711624,0.9269202060584139,0.4410605310902198
france,1.0,0.7258769955433215,0.7475231924281873,0.7539712082041319,0.8118053251135163,0.8078353442578313,1.0,1.0,0.7807606181752418,0.9294407346266929,26.78,46900.0,66700000.0,52.2,0.9294407346266926,0.20619794967711624,0.5723514211886306,0.31914893617021534,0.20619794967711624,0.9269202060584139,0.35169882896256155
united arab emirates,1.0,0.7002976056744568,0.8464725999256932,0.7303043546419455,0.7403367691569852,0.8034822658798161,1.0,1.0,0.7750277052407978,0.927595673206903,26.77,50500.0,34600000.0,45.6,0.9275956732069027,0.2221537697841089,0.4870801033591732,0.2978723404255348,0.2221537697841089,0.925009235080266,0.3623866072901224
brunei darussalam,1.0,0.74732721915083,0.8028818234070714,0.7163531566663679,0.7415221298856643,0.8016168658219867,1.0,1.0,0.7725710124843675,0.9268050194717076,26.9,62000.0,466000.0,33.8,0.9268050194717073,0.27312375068144645,0.33462532299741604,0.5744680851063819,0.27312375068144645,0.9241903374947892,0.6017400626752425
lithuania,1.0,0.6330761077518646,0.7271792219000852,0.7932768039129127,0.8325337983057429,0.7972131863741211,1.0,1.0,0.7667714590020973,0.9249385106821084,26.84,41700.0,2830000.0,29.1,0.9249385106821082,0.18315065396701577,0.2739018087855298,0.44680851063829863,0.18315065396701577,0.922257153000699,0.53059541481115
israel,1.0,0.6440789149912911,0.7476832463964252,0.7472176291108915,0.7168736183164416,0.77117068176301,1.0,1.0,0.732474026572583,0.9139003403667426,26.78,45800.0,9520000.0,41.9,0.9139003403667424,0.2013225601999796,0.43927648578811374,0.31914893617021534,0.2013225601999796,0.9108246755241943,0.39162130958271657
uruguay,1.0,0.8154215251023449,0.6841531764464,0.6520750709592744,0.7010365605817621,0.7705372666179563,1.0,1.0,0.7316398321100412,0.9136318660262044,26.77,25900.0,3380000.0,52.9,0.9136318660262042,0.11312233238632587,0.5813953488372093,0.2978723404255348,0.11312233238632587,0.9105466107033471,0.33409203364671153
qatar,1.0,0.6148195873955522,0.7588864339467782,0.7163849463401981,0.7525368893232876,0.7685255714011632,1.0,1.0,0.7289904716972451,0.9127792047804004,26.88,91000.0,3120000.0,26.0,0.9127792047804002,0.40165674598777606,0.23385012919896642,0.5319148936170208,0.40165674598777606,0.9096634905657485,0.6021853867722247
qatar,1.0,0.6148195873955522,0.7588864339467782,0.7163849463401981,0.7525368893232876,0.7685255714011632,1.0,1.0,0.7289904716972451,0.9127792047804004,26.83,91000.0,3120000.0,26.0,0.9127792047804002,0.40165674598777606,0.23385012919896642,0.4255319148936181,0.40165674598777606,0.9096634905657485,0.5277173016658427
latvia,1.0,0.6138770606123307,0.6510688253619514,0.7579578922918112,0.7781350273189642,0.7602077611170116,1.0,1.0,0.7180360899877187,0.9092536834091498,26.87,34500.0,1850000.0,53.5,0.9092536834091496,0.15123901375303048,0.5891472868217055,0.5106382978723474,0.15123901375303048,0.9060120299959062,0.4807026224641315
slovenia,1.0,0.6319488941642706,0.724848469669017,0.6640690330541001,0.777883033511383,0.7597498860797541,1.0,1.0,0.717433078165853,0.9090596121122496,26.76,43300.0,2120000.0,42.5,0.9090596121122494,0.1902421295701236,0.4470284237726099,0.27659574468085424,0.1902421295701236,0.9058110260552844,0.359508494144815
portugal,1.0,0.6134624102756808,0.7137096167825047,0.6691670480835064,0.78478824575826,0.7562254641799904,1.0,1.0,0.7127914884353217,0.9075657784824308,26.81,37500.0,10400000.0,62.4,0.9075657784824306,0.1645355305088577,0.7041343669250646,0.382978723404257,0.1645355305088577,0.9042638294784405,0.3568447963054605
chile,1.0,0.6761214651850909,0.6555883419122298,0.7054562937942745,0.6788858798661601,0.743210396151551,1.0,1.0,0.6956509167838347,0.9020493145436016,26.8,26700.0,19900000.0,73.7,0.9020493145436014,0.11666807018787978,0.8501291989664084,0.36170212765957643,0.11666807018787978,0.8985503055946116,0.29815272967178097
mauritius,1.0,0.5575174922338278,0.6539914462355448,0.7350088455021333,0.7219996841091894,0.7337034936161391,1.0,1.0,0.6831305255161242,0.8980197939224289,26.96,26600.0,1270000.0,60.9,0.8980197939224287,0.11622485296268555,0.6847545219638244,0.7021276595744723,0.11622485296268555,0.894376841838708,0.5860630051129833
seychelles,1.0,0.8280550626459289,0.6356089259252172,0.5532372266576825,0.6329044693871599,0.7299611369231978,1.0,1.0,0.6782019202333384,0.8964335881724678,26.91,28600.0,133000.0,35.9,0.8964335881724675,0.12508919746657032,0.36175710594315247,0.5957446808510625,0.12508919746657032,0.8927339734111128,0.608494144812798
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.74,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.23404255319148604,0.1800481333906561,0.8921661386427363,0.3153801748309394
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.82,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.40425531914893753,0.1800481333906561,0.8921661386427363,0.43452911100115543
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
spain,1.0,0.5980575831098855,0.6630172120759478,0.6560481454102334,0.7262152746528547,0.7286676430497844,1.0,1.0,0.6764984159282087,0.8958853380755654,26.75,41000.0,47900000.0,46.2,0.8958853380755651,0.1800481333906561,0.4948320413436693,0.2553191489361737,0.1800481333906561,0.8921661386427363,0.3302737918522208
barbados,1.0,0.7626414791447523,0.5830186165578592,0.6154390334232869,0.628420261831094,0.7179038781913984,1.0,1.0,0.6623227633390886,0.8913230937171361,26.7,17300.0,283000.0,71.2,0.8913230937171359,0.07500565101962123,0.8178294573643412,0.14893617021277095,0.07500565101962123,0.8874409211130295,0.1589064819396373
georgia,1.0,0.5953712096410989,0.6714601166400035,0.7098965012518578,0.5717289041546947,0.709691346337531,1.0,1.0,0.6515070311144284,0.8878421948298347,26.93,20400.0,3810000.0,83.9,0.8878421948298345,0.08874538500064266,0.9819121447028426,0.6382978723404236,0.08874538500064266,0.8838356770381428,0.45223486722744366
cyprus,1.0,0.5297906604904882,0.6599333567815694,0.674045023725202,0.6795909576269592,0.7086719997248437,1.0,1.0,0.6501645730024702,0.887410142625592,26.76,45500.0,1370000.0,33.8,0.8874101426255918,0.19999290852439688,0.33462532299741604,0.27659574468085424,0.19999290852439688,0.8833881910008233,0.3932294243773731
bhutan,1.0,0.8056358813994979,0.6230288816192404,0.4228610488083718,0.6890794629696472,0.7081210549593514,1.0,1.0,0.6494389903003056,0.8871766235287665,27.02,13300.0,797000.0,68.3,0.8871766235287663,0.05727696201185163,0.7803617571059431,0.8297872340425485,0.05727696201185163,0.8831463301001019,0.646742536698001
palau,1.0,0.588679772859783,0.5963352889155048,0.5937661757261055,0.7531549074168079,0.7063872289836401,1.0,1.0,0.6471555778507548,0.8864417377448186,27.0,17300.0,17700.0,58.3,0.8864417377448184,0.07500565101962123,0.6511627906976745,0.7872340425531945,0.07500565101962123,0.8823851926169183,0.6557149925779338
palau,1.0,0.588679772859783,0.5963352889155048,0.5937661757261055,0.7531549074168079,0.7063872289836401,1.0,1.0,0.6471555778507548,0.8864417377448186,26.91,17300.0,17700.0,58.3,0.8864417377448184,0.07500565101962123,0.6511627906976745,0.5957446808510625,0.07500565101962123,0.8823851926169183,0.5216724393864414
malaysia,1.0,0.5212565184909287,0.6895607140875674,0.6490469521802558,0.6661609057194868,0.7052050180956477,1.0,1.0,0.6455986309036837,0.8859406551751806,26.94,30900.0,36000000.0,46.6,0.8859406551751804,0.13528319364603786,0.5000000000000001,0.6595744680851112,0.13528319364603786,0.8818662103012279,0.6117021276595778
bahrain,1.0,0.4941402813482985,0.6512061171256313,0.7378857094193265,0.6414794615205545,0.7049423138827622,1.0,1.0,0.6452526549645435,0.8858293074423993,26.84,53600.0,1640000.0,48.8,0.8858293074423991,0.23589350376513032,0.5284237726098191,0.44680851063829863,0.23589350376513032,0.8817508849881812,0.4542388256638633
saudi arabia,1.0,0.5765817104623345,0.6725698703447383,0.6184131326087957,0.628510102729552,0.6992149632290842,1.0,1.0,0.6377098542632297,0.883401757830134,26.77,50500.0,34600000.0,45.6,0.8834017578301337,0.2221537697841089,0.4870801033591732,0.2978723404255348,0.2221537697841089,0.8792366180877432,0.3623866072901224
poland,1.0,0.5833372561276935,0.5918434552605666,0.674457235753795,0.639079587055346,0.6977435068394802,1.0,1.0,0.6357719770563697,0.882778077946704,27.05,40700.0,38100000.0,42.6,0.8827780779467038,0.17871848171507337,0.4483204134366926,0.8936170212765973,0.17871848171507337,0.8785906590187899,0.7910357908626102
